Number,Bird_ID,Age,Sex,Points,Area_sq m,Area_acre,Area_ha,Year,logMCP
1,Czar,asy,f,5,185451.3,45.83,18.55,2016,1.268
2,Gen Ironbeak,asy,m,5,14584.5,3.6,1.46,2016,0.164
3,Gerald,sy,m,5,6882.15,1.7,0.69,2016,-0.161
4,Irene,sy,f,6,18175.15,4.49,1.82,2016,0.260
5,LeeVi,asy,f,6,202503.35,50.04,20.25,2016,1.306
6,Maddy,sy,f,6,59227.4,14.64,5.92,2016,0.772
7,Rocjaw,asy,m,5,7033.6,1.74,0.7,2016,-0.155
8,Usain,asy,m,6,68997.65,17.05,6.9,2016,0.839
9,Alex,asy,m,13,198199.5,48.98,19.82,2017,1.297
10,Angor,asy,m,5,285813.45,70.63,28.58,2017,1.456
11,Buckbeak,asy,m,8,518998.4,128.25,51.9,2017,1.715
12,Butch,asy,m,7,180179.7,44.52,18.02,2017,1.256
13,Centralia,asy,m,9,94347.3,23.31,9.43,2017,0.975
14,Ghost,asy,m,9,146560.5,36.22,14.66,2017,1.166
15,Hunter,sy,m,7,5497.05,1.36,0.55,2017,-0.260
16,Iceman,sy,m,6,222184,54.9,22.22,2017,1.347
17,Jeebus,asy,f,5,32293.9,7.98,3.23,2017,0.509
18,LeeVi,asy,f,10,436499.75,107.86,43.65,2017,1.640
19,Lilsweet,sy,m,6,36949.5,9.13,3.69,2017,0.567
20,Lone,asy,m,12,45275.25,11.19,4.53,2017,0.656
21,Maddy,asy,f,11,146529.6,36.21,14.65,2017,1.166
22,Michelle,asy,f,13,29272.05,7.23,2.93,2017,0.467
23,MsB,sy,f,6,37794.4,9.34,3.78,2017,0.577
24,Obama,asy,m,6,182857.85,45.19,18.29,2017,1.262
25,Peanut,asy,m,7,36445.15,9.01,3.64,2017,0.561
26,Raymond,sy,m,5,93841.35,23.19,9.38,2017,0.972
27,Ricola,asy,m,10,117106.1,28.94,11.71,2017,1.069
28,Rocjaw,asy,m,10,636498.3,157.29,63.65,2017,1.804
29,Rudolph,asy,m,6,6702.3,1.66,0.67,2017,-0.174
30,Saphira,asy,m,13,55407.3,13.69,5.54,2017,0.744
31,Sasquatch,asy,m,9,65853.15,16.27,6.59,2017,0.819
32,Sixway,asy,f,11,267866.95,66.19,26.79,2017,1.428
33,Tickfaw,asy,m,10,240954.15,59.54,24.1,2017,1.382
34,Titan,sy,m,5,280377.1,69.28,28.04,2017,1.448
35,Toad,asy,f,9,33335.75,8.24,3.33,2017,0.522
36,Tony,asy,m,10,38630.15,9.55,3.86,2017,0.587
37,Violetta,asy,f,9,19714.4,4.87,1.97,2017,0.294
38,Zapdos,asy,f,9,34289.35,8.47,3.43,2017,0.535
